Age_of_Household_Head,Household_Size,Number_of_Dependants,Number_of_Income_Earners,School_Age_Children_Attending,Sleeping_Rooms,Region_Ahafo,Region_Ashanti,Region_Bono East,Region_Brong Ahafo,Region_Central,Region_Eastern,Region_Greater Accra,Region_North East,Region_Northern,Region_Oti,Region_Savannah,Region_Upper East,Region_Upper West,Region_Volta,Region_Western,Region_Western North,Locality_Type_Rural,Locality_Type_Urban,Sex_of_Household_Head_Female,Sex_of_Household_Head_Male,Marital_Status_Divorced/Separated,Marital_Status_Married/Cohabiting,Marital_Status_Never married,Marital_Status_Widowed,Education_Level_JHS/Middle school,Education_Level_No formal education,Education_Level_Primary,Education_Level_SHS/Vocational/Technical,Education_Level_Tertiary,Main_Occupation_Agriculture/Fishing/Forestry,Main_Occupation_Artisanal/Skilled manual work,Main_Occupation_Formal employment (public or private sector),Main_Occupation_Other,Main_Occupation_Trading/Commerce,Main_Occupation_Unemployed/Not economically active,Employment_Status_Employee,Employment_Status_Employer,Employment_Status_Not applicable,Employment_Status_Self-employed,Employment_Status_Unpaid family worker,Main_Income_Source_Business/Trading profit,Main_Income_Source_Farming/Fishing,Main_Income_Source_Other,Main_Income_Source_Remittances,Main_Income_Source_Rent,Main_Income_Source_Social protection/Government transfer,Main_Income_Source_Wages/Salary,Owns_Mobile_Phone_No,Owns_Mobile_Phone_Yes,Owns_Radio_No,Owns_Radio_Yes,Owns_Television_No,Owns_Television_Yes,Owns_Refrigerator_No,Owns_Refrigerator_Yes,Owns_Bicycle_No,Owns_Bicycle_Yes,Owns_Motorbike_No,Owns_Motorbike_Yes,Owns_Car_Van_Truck_No,Owns_Car_Van_Truck_Yes,Owns_Farmland_No,Owns_Farmland_Yes,Owns_Livestock_No,Owns_Livestock_Yes,Wall_Material_Burnt brick,Wall_Material_Cement block/Concrete,Wall_Material_Mud/Earth,Wall_Material_Other,Wall_Material_Wood/Bamboo,Roofing_Material_Cement/Concrete slab,Roofing_Material_Metal sheet/Corrugated iron,Roofing_Material_Other,Roofing_Material_Thatch/Palm leaves/Mud,Drinking_Water_Source_Pipe-borne water (in dwelling or yard),Drinking_Water_Source_Public standpipe/Borehole,Drinking_Water_Source_River/Stream/Pond,Drinking_Water_Source_Sachet/Bottled water,Drinking_Water_Source_Well (protected/unprotected),Toilet_Facility_Flush toilet (own or shared),Toilet_Facility_KVIP/Pit latrine,Toilet_Facility_No facility/Bush or field,Toilet_Facility_Public toilet,Lighting_Source_Electricity (grid),Lighting_Source_Flashlight/Torch,Lighting_Source_Kerosene lamp,Lighting_Source_Other,Lighting_Source_Solar,Dwelling_Tenure_Other,Dwelling_Tenure_Owner-occupied,Dwelling_Tenure_Rent-free/Family-owned,Dwelling_Tenure_Renting,Poverty_Risk_E1
55,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
42,5,3,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
34,3,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
33,4,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
18,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
30,5,1,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
52,5,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
60,6,3,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
52,6,2,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
27,6,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
